slug,bandcamp_url,actual_track_count,status
aldan---pode-ser-que-daqui-a-algum-tempo-eu-tenha-30,https://aldan.bandcamp.com/album/pode-ser-que-daqui-a-algum-tempo-eu-tenha-30,12,updated
sleepwalkers-maladies---4-ho-mipt,https://sleepwalkersmaladies.bandcamp.com/album/4-ho-mipt,7,updated
tiago-rosas---cren-as-e-tramas,https://tiagorosas.bandcamp.com/album/cren-as-e-tramas,7,updated
ze-vito-pode-ser,https://zevito.bandcamp.com/album/pode-ser,10,updated
emec----desbatizado,https://fabioemece.bandcamp.com/album/desbatizado,5,updated
unknelson-de-lhe-gaita,https://unknelson.bandcamp.com/album/de-lhe-gaita,9,updated
zonbizarro-brisa-2014,https://zonbizarro.bandcamp.com/album/brisa-2014,7,updated
spiritual-void---i,https://spiritualvoid.bandcamp.com/album/i,4,updated
god-pussy---favela-gore,https://godpussy.bandcamp.com/album/favela-gore,6,updated
cianeto-hc---decair,https://cianetohc.bandcamp.com/album/decair,4,updated
a-fase-rosa-leveza,https://afaserosa.bandcamp.com/album/leveza,12,updated
sereno---desapegos-e-previs-es-de-morte,https://serenofrio.bandcamp.com/album/desapegos-e-previs-es-de-morte,5,updated
vidro-pele---noite-invis-vel,https://vidropele.bandcamp.com/album/noite-invis-vel,5,updated
-mpeto----mpeto,https://impetohardcore.bandcamp.com/album/mpeto,6,updated
an-nimos-alhures---a-maquinaria-come-ou-a-rodar,https://anonimosalhures.bandcamp.com/album/a-maquinaria-come-ou-a-rodar,8,updated
acordes-seletos---gororobacore-ep,https://acordesseletos.bandcamp.com/album/gororobacore-ep,5,updated
severo-suor-violento-precario-2018,https://severo.bandcamp.com/album/suor-violento-prec-rio-2018,9,updated
concreto-morto-viver-so,https://concretomorto.bandcamp.com/album/viver-s-2,10,updated
humbra---tratados-do-amor-pr-prio--flowed-fuzz-,https://bandahumbra.bandcamp.com/album/tratados-do-amor-pr-prio-flowed-fuzz,9,updated
adega-ensemble---black-van-in-a-small-square,https://finneganswake.bandcamp.com/album/black-van-in-a-small-square,4,updated
subversilvas-ep-2013,https://subversilvas.bandcamp.com/album/ep-2013,5,updated
weird-fingers---paisagens-fugitivas,https://weirdfingers.bandcamp.com/album/paisagens-fugitivas,4,updated
armandinho-coisas-novas-sao-assim,https://transtorninhorecords.bandcamp.com/album/coisas-novas-s-o-assim,4,updated
weird-fingers-paisagens-fugitivas,https://weirdfingers.bandcamp.com/album/paisagens-fugitivas,4,updated
kaatayra---caminhos-de--gua,https://kaatayra.bandcamp.com/album/caminhos-de-gua,7,updated
skarimbo-emaranhado,https://skarimbo.bandcamp.com/album/emaranhado,8,updated
affecting-minds---privacidade-intelectual,https://affectingminds.bandcamp.com/album/privacidade-intelectual,4,updated
cosmonauta-fantasma---ansiedade-trag-dia-em-1--pessoa,https://totalcontrole.bandcamp.com/album/ansiedade-trag-dia-em-1-pessoa-ep,2,updated
aurata-espuma,https://aurata.bandcamp.com/album/espuma,8,updated
alegorica-supersomos,https://alegorica.bandcamp.com/album/supersomos,4,updated
wicca-surf-ultramar,https://wiccasurf.bandcamp.com/album/ultramar,4,updated
tape-rec-death-friends,https://taperec.bandcamp.com/album/death-friends,7,updated
suicide-shower-suicide-shower,https://suicideshower.bandcamp.com/album/suicide-shower-2,9,updated
zonbizarro-redentor,https://zonbizarro.bandcamp.com/album/redentor,3,updated
pandukkyi---can--es----bl-rgh--para-amores-perdedores,https://pandukkyi.bandcamp.com/album/can-es-bl-rgh-para-amores-perdedores,10,updated
c-os---c-os,https://ca-os.bandcamp.com/album/c-os,7,updated
antiprisma-antiprisma-ep,https://monotunerecords.bandcamp.com/album/antiprisma-ep-2014,4,updated
teddy-bear-brutal-2013,https://teddythebear.bandcamp.com/album/brutal-2013,8,updated
banda-gentileza-nem-vamos-tocar-nesse,https://bandagentileza.bandcamp.com/album/nem-vamos-tocar-nesse-assunto,9,updated
tale-twist-coordinates-to-nowhere,https://anti-demos-cracia.bandcamp.com/album/coordinates-to-nowhere,5,updated
23,https://music.bucketheadpikes.com/album/happy-birthday-mj-23,4,updated
realidade-encoberta---big-tech--ber-alles,https://realidadeencoberta.bandcamp.com/album/big-tech-ber-alles,6,updated
bardo-bardo-ep,https://oficialbardo.bandcamp.com/album/bardo-ep,5,updated
dizzy-dinosaur---maratona-et-lica,https://dizzydinosaur.bandcamp.com/album/maratona-et-lica,1,updated
aurora---aurora,https://aurora-acoustic.bandcamp.com/album/aurora,4,updated
televisia---solid-o-e-coisas-que-me-fazem-pensar,https://televisia.bandcamp.com/album/solid-o-e-coisas-que-me-fazem-pensar,8,updated
teu-pai-ja-sabe-agora-sabe-2013,https://crocodilodiscos.bandcamp.com/album/agora-sabe-ep-2013,6,updated
bella-cantar-sobre-os-ossos,https://seminalrecords.bandcamp.com/album/cantar-sobre-os-ossos,2,updated
dom-pesco-o---temperar,https://bigornadiscos.bandcamp.com/album/temperar,5,updated
sendero-veneco---sendero-veneco---vol-1-progrecalipsis,https://prolapsorecords.bandcamp.com/album/sendero-veneco-vol-1-progrecalipsis,66,updated
airplanemusic-architecture-for,https://airplanemusic.bandcamp.com/album/architecture-for-international-airports,14,updated
the-renegades-of-punk---invisivel,https://therenegadesofpunk.bandcamp.com/album/invisivel,4,updated
bem-nio-congrega--o---congrega--o--live-,https://bemonio.bandcamp.com/album/congrega-o-live,1,updated
the-outside-dog---outros-caminhos---parte-i,https://theoutsidedog.bandcamp.com/album/outros-caminhos-parte-i,4,updated
big-jesi---kroutons,https://prprcs.bandcamp.com/album/kroutons,30,updated
